Mass(g)	voltage(mV)
0	-0.019
20	0.006
50	0.044
100	0.105
200	0.227
300	0.351
400	0.475
500	0.598
600	0.721
700	0.842
800	0.967
900	1.090
1000	1.236
1100	1.362
1200	1.478
1300	1.603
1400	1.726
1500	1.849
1600	1.973
1700	2.093
1800	2.216
1900	2.333
2000	2.459
