Mass(g)	voltage(mV)
0	0.002
20	0.027
50	0.063
100	0.124
200	0.248
300	0.371
400	0.493
500	0.614
600	0.738
700	0.861
800	0.984
900	1.107
1000	1.229
1100	1.351
1200	1.475
1300	1.600
1400	1.723
1500	1.842
1600	1.964
1700	2.084
1800	2.208
1900	2.329
2000	2.455
