Mass(g)	voltage(mV)
0	-0.002
20	0.023
50	0.059
100	0.120
200	0.240
300	0.363
400	0.486
500	0.613
600	0.735
700	0.856
800	0.977
900	1.104
1000	1.223
1100	1.350
1200	1.469
1300	1.590
1400	1.711
1500	1.837
1600	1.964
1700	2.086
1800	2.211
1900	2.333
2000	2.455
