freq	v_in	v_out
10.67	1.04	2.04
35.53	1	2.04
106	1	2.04
353.3	1.04	2.12
120	1	2.04
322	1	2.08
815	1.04	2.24
1060	1.04	2.04
1593	1.04	1.16
3148	1.04	0.28
10519	1.08	0.0284
31602	1.12	0.0088
104700	1.08	0.00744
