freq	V_in	V_out
0.00046415888336127773	1	0.9999925194558079
0.00046773514128719813	1	0.999992403740645
0.0004713389536157405	1	0.999992286235526
0.0004749705326484557	1	0.9999921669127638
0.00047863009232263854	1	0.9999920457442424
0.00048231784822393045	1	0.999991922701411
0.0004860340175990216	1	0.9999917977552776
0.0004897788193684461	1	0.9999916708764011
0.0004935524741394807	1	0.9999915420348858
0.0004973552042191398	1	0.9999914112003732
0.0005011872336272725	1	0.9999912783420348
0.0005050487881097585	1	0.9999911434285661
0.0005089400951518089	1	0.9999910064281777
0.0005128613839913648	1	0.9999908673085891
0.0005168128856326036	1	0.99999072603702
0.0005207948328595465	1	0.9999905825801834
0.0005248074602497728	1	0.9999904369042772
0.0005288510041882378	1	0.9999902889749767
0.0005329257028812002	1	0.9999901387574262
0.0005370317963702527	1	0.9999899862162306
0.0005411695265464637	1	0.999989831315448
0.0005453391371646278	1	0.9999896740185801
0.0005495408738576248	1	0.999989514288564
0.0005537749841508896	1	0.9999893520877638
0.0005580417174769963	1	0.9999891873779614
0.0005623413251903491	1	0.9999890201203477
0.0005666740605819913	1	0.999988850275513
0.0005710401788945271	1	0.9999886778034385
0.0005754399373371566	1	0.999988502663486
0.000579873595100831	1	0.9999883248143892
0.0005843414133735175	1	0.9999881442142431
0.0005888436553555889	1	0.9999879608204948
0.0005933805862753281	1	0.9999877745899334
0.0005979524734045521	1	0.9999875854786792
0.0006025595860743575	1	0.9999873934421742
0.0006072021956909884	1	0.9999871984351713
0.000611880575751822	1	0.9999870004117232
0.0006165950018614823	1	0.9999867993251723
0.0006213457517480758	1	0.9999865951281391
0.0006261331052795528	1	0.9999863877725117
0.000630957344480193	1	0.9999861772094336
0.0006358187535472229	1	0.9999859633892929
0.0006407176188675537	1	0.9999857462617106
0.0006456542290346556	1	0.999985525775528
0.0006506288748655574	1	0.9999853018787954
0.0006556418494179792	1	0.9999850745187602
0.0006606934480075957	1	0.9999848436418527
0.0006657839682254362	1	0.9999846091936758
0.0006709137099554112	1	0.9999843711189906
0.0006760829753919819	1	0.999984129361704
0.0006812920690579615	1	0.9999838838648549
0.0006865412978224543	1	0.9999836345706024
0.0006918309709189362	1	0.9999833814202094
0.0006971613999634673	1	0.9999831243540317
0.0007025328989730521	1	0.9999828633115021
0.000707945784384138	1	0.9999825982311169
0.0007134003750712565	1	0.999982329050421
0.0007188969923658068	1	0.9999820557059932
0.0007244359600749898	1	0.9999817781334319
0.000730017604500878	1	0.9999814962673393
0.0007356422544596414	1	0.9999812100413064
0.0007413102413009177	1	0.9999809193878965
0.0007470218989273319	1	0.9999806242386305
0.000752777563814166	1	0.9999803245239702
0.0007585775750291835	1	0.9999800201733019
0.0007644222742526002	1	0.9999797111149198
0.0007703120057972147	1	0.9999793972760092
0.0007762471166286919	1	0.9999790785826292
0.000782227956386003	1	0.9999787549596955
0.000788254877402021	1	0.9999784263309627
0.0007943282347242813	1	0.9999780926190059
0.0008004483861358918	1	0.9999777537452035
0.0008066156921766136	1	0.9999774096297173
0.0008128305161640995	1	0.9999770601914746
0.0008190932242152977	1	0.9999767053481494
0.0008254041852680181	1	0.9999763450161421
0.0008317637711026709	1	0.9999759791105601
0.0008381723563641622	1	0.9999756075451987
0.0008446303185839687	1	0.9999752302325192
0.0008511380382023768	1	0.9999748470836299
0.0008576958985908938	1	0.999974458008264
0.0008643042860748356	1	0.9999740629147589
0.0008709635899560805	1	0.9999736617100347
0.0008776742025360064	1	0.9999732542995717
0.0008844365191385999	1	0.9999728405873889
0.0008912509381337459	1	0.9999724204760211
0.0008981178609606942	1	0.9999719938664954
0.0009050376921517118	1	0.9999715606583089
0.0009120108393559096	1	0.9999711207494045
0.0009190377133632595	1	0.9999706740361468
0.0009261187281287938	1	0.9999702204132976
0.0009332543007969915	1	0.9999697597739918
0.0009404448517263514	1	0.9999692920097114
0.0009476908045141591	1	0.9999688170102606
0.0009549925860214359	1	0.9999683346637396
0.0009623506263980887	1	0.9999678448565184
0.0009697653591082496	1	0.9999673474732093
0.000977237220955811	1	0.999966842396641
0.0009847666521101577	1	0.9999663295078305
0.0009923540961321003	1	0.9999658086859543
0.001	1	0.9999652798083213
0.0010077048141361043	1	0.9999647427503427
0.0010154689924330807	1	0.9999641973855041
0.0010232929922807535	1	0.9999636435853341
0.001031177274593055	1	0.9999630812193748
0.001039122303835169	1	0.9999625101551517
0.0010471285480508996	1	0.9999619302581416
0.0010551964788902406	1	0.9999613413917416
0.0010633265716371617	1	0.9999607434172363
0.001071519305237606	1	0.9999601361937657
0.0010797751623277093	1	0.9999595195782918
0.0010880946292622263	1	0.999958893425565
0.0010964781961431851	1	0.9999582575880902
0.0011049263568487593	1	0.9999576119160913
0.0011134396090623619	1	0.9999569562574773
0.001122018454301963	1	0.9999562904578049
0.0011306633979496388	1	0.9999556143602433
0.0011393749492813368	1	0.999954927805537
0.0011481536214968829	1	0.9999542306319682
0.0011569999317502114	1	0.999953522675319
0.0011659144011798323	1	0.9999528037688324
0.001174897554939529	1	0.9999520737431739
0.0011839499222293017	1	0.9999513324263898
0.0011930720363265337	1	0.9999505796438692
0.001202264434617413	1	0.9999498152183014
0.001211527658628589	1	0.9999490389696342
0.0012208622540590705	1	0.9999482507150323
0.0012302687708123812	1	0.9999474502688335
0.001239747763028944	1	0.9999466374425054
0.0012492997891187332	1	0.9999458120446014
0.0012589254117941675	1	0.9999449738807153
0.0012686251981032601	1	0.999944122753435
0.001278399719463023	1	0.9999432584622976
0.0012882495516931337	1	0.9999423808037402
