Time	Amplitude
0	0.0617413
0.2	0.0362502
0.4	0.010759
0.6	-0.0148966
0.8	-0.0398943
1	-0.0653854
1.2	-0.0912055
1.4	-0.116203
1.6	-0.14153
1.8	-0.166857
2	-0.193006
2.2	-0.21899
2.4	-0.244152
2.6	-0.267999
2.8	-0.291352
3	-0.314705
3.2	-0.336907
3.4	-0.360096
3.6	-0.382627
3.8	-0.404664
4	-0.426373
4.2	-0.447917
4.4	-0.468639
4.6	-0.488867
4.8	-0.508931
5	-0.528337
5.2	-0.548237
5.4	-0.56715
5.6	-0.585898
5.8	-0.604646
6	-0.623066
6.2	-0.641156
6.4	-0.658918
6.6	-0.67668
6.8	-0.693783
7	-0.7099
7.2	-0.725688
7.4	-0.740983
7.6	-0.756936
7.8	-0.771408
8	-0.785387
8.2	-0.798544
8.4	-0.811043
8.6	-0.823048
8.8	-0.834725
9	-0.845743
9.2	-0.856104
9.4	-0.865314
9.6	-0.875346
9.8	-0.883733
