Time	Amplitude
0.319	0.00220718
0.32	0.00270056
0.321	0.0025361
0.322	0.0025361
0.323	0.0025361
0.324	0.00237164
0.325	0.00286502
0.326	0.00302947
0.327	0.00220718
0.328	0.00220718
0.329	0.00237164
0.33	0.00270056
0.331	0.00302947
0.332	0.00220718
0.333	0.00204272
0.334	0.00204272
0.335	0.00286502
0.336	0.00270056
0.337	0.00187826
0.338	0.00237164
0.339	0.0025361
0.34	0.00286502
0.341	0.00302947
0.342	0.0025361
0.343	0.00204272
0.344	0.0025361
0.345	0.00270056
0.346	0.00237164
0.347	0.00204272
0.348	0.00220718
0.349	0.00237164
0.35	0.00286502
0.351	0.00237164
0.352	0.0017138
0.353	0.00237164
0.354	0.00270056
0.355	0.00270056
0.356	0.00302947
0.357	0.00187826
0.358	0.0025361
0.359	0.00270056
0.36	0.00270056
0.361	0.0025361
0.362	0.0025361
0.363	0.00237164
0.364	0.00220718
0.365	0.00286502
0.366	0.0025361
0.367	0.00220718
0.368	0.00220718
0.369	0.00220718
0.37	0.00286502
0.371	0.0025361
0.372	0.00237164
0.373	0.00237164
0.374	0.00237164
0.375	0.00302947
0.376	0.00270056
0.377	0.00187826
0.378	0.00220718
0.379	0.00237164
0.38	0.00270056
0.381	0.00319393
0.382	0.00154934
0.383	0.00220718
0.384	0.0025361
0.385	0.00286502
0.386	0.00286502
0.387	0.00187826
0.388	0.00220718
0.389	0.00270056
0.39	0.00286502
0.391	0.00270056
0.392	0.00204272
0.393	0.00270056
0.394	0.0025361
0.395	0.00270056
0.396	0.00237164
0.397	0.00220718
0.398	0.00220718
0.399	0.00270056
0.4	0.0025361
0.401	0.00220718
0.402	0.00187826
0.403	0.00187826
0.404	0.0025361
0.405	0.00286502
0.406	0.00270056
0.407	0.00204272
0.408	0.0025361
0.409	0.00270056
0.41	0.00270056
0.411	0.0025361
0.412	0.00204272
0.413	0.00204272
0.414	0.00270056
0.415	0.00270056
0.416	0.00270056
0.417	0.00220718
0.418	0.00187826
0.419	0.0025361
0.42	0.0025361
0.421	0.00286502
0.422	0.00187826
0.423	0.00220718
0.424	0.0025361
0.425	0.00286502
0.426	0.00270056
0.427	0.00204272
0.428	0.00220718
0.429	0.00270056
0.43	0.00286502
0.431	0.00270056
0.432	0.0017138
0.433	0.00237164
0.434	0.00302947
0.435	0.00270056
0.436	0.00204272
0.437	0.00237164
0.438	0.00220718
0.439	0.00319393
0.44	0.00302947
0.441	0.00237164
0.442	0.00270056
0.443	0.00204272
0.444	0.00302947
0.445	0.0025361
0.446	0.00270056
0.447	0.00204272
0.448	0.00237164
0.449	0.00237164
0.45	0.0025361
0.451	0.00237164
0.452	0.00237164
0.453	0.00204272
0.454	0.00302947
0.455	0.00286502
0.456	0.00286502
0.457	0.00237164
0.458	0.0025361
0.459	0.00286502
0.46	0.00270056
0.461	0.00270056
0.462	0.00220718
0.463	0.00220718
0.464	0.00286502
0.465	0.0025361
0.466	0.00220718
0.467	0.00220718
0.468	0.00187826
0.469	0.00270056
0.47	0.00302947
0.471	0.00220718
0.472	0.00204272
0.473	0.00270056
0.474	0.00286502
0.475	0.00270056
0.476	0.00237164
0.477	0.00237164
0.478	0.00237164
0.479	0.00286502
0.48	0.00237164
0.481	0.00220718
0.482	0.00204272
0.483	0.00237164
0.484	0.0025361
0.485	0.0025361
0.486	0.00237164
0.487	0.00204272
0.488	0.00270056
0.489	0.00302947
0.49	0.00270056
0.491	0.00220718
0.492	0.0025361
0.493	0.00237164
0.494	0.00270056
0.495	0.0025361
0.496	0.00237164
0.497	0.00220718
0.498	0.00237164
0.499	0.00270056
0.5	0.00237164
0.501	0.00220718
0.502	0.00204272
0.503	0.00237164
0.504	0.00286502
0.505	0.00319393
0.506	0.0025361
0.507	0.00204272
0.508	0.00237164
0.509	0.00286502
0.51	0.00302947
0.511	0.00237164
0.512	0.00220718
0.513	0.00237164
0.514	0.0025361
0.515	0.00270056
0.516	0.00220718
0.517	0.00187826
0.518	0.00237164
0.519	0.00302947
0.52	0.00270056
0.521	0.00204272
0.522	0.00270056
0.523	0.0025361
0.524	0.00270056
0.525	0.00270056
0.526	0.00220718
0.527	0.00204272
0.528	0.00270056
0.529	0.00270056
0.53	0.00204272
0.531	0.00204272
0.532	0.00187826
0.533	0.00237164
0.534	0.00286502
0.535	0.00220718
0.536	0.00204272
0.537	0.00220718
0.538	0.0025361
0.539	0.0025361
0.54	0.00270056
0.541	0.00237164
0.542	0.00220718
0.543	0.00237164
0.544	0.00270056
0.545	0.0025361
0.546	0.00237164
0.547	0.00237164
0.548	0.00220718
0.549	0.00270056
0.55	0.0025361
0.551	0.00204272
0.552	0.00220718
0.553	0.00220718
0.554	0.00335839
0.555	0.00237164
0.556	0.00237164
0.557	0.00237164
0.558	0.0025361
0.559	0.00286502
0.56	0.00270056
0.561	0.00220718
0.562	0.00204272
0.563	0.0025361
0.564	0.0025361
0.565	0.0025361
0.566	0.00187826
0.567	0.00237164
0.568	0.0025361
0.569	0.00270056
0.57	0.0025361
0.571	0.00220718
0.572	0.0025361
0.573	0.00237164
0.574	0.00270056
0.575	0.00270056
0.576	0.00220718
0.577	0.00237164
0.578	0.00286502
0.579	0.00286502
0.58	0.00270056
0.581	0.00204272
0.582	0.00237164
0.583	0.00237164
0.584	0.00270056
0.585	0.0025361
0.586	0.00204272
0.587	0.0025361
0.588	0.0025361
0.589	0.00286502
0.59	0.0025361
0.591	0.00220718
0.592	0.00220718
0.593	0.00237164
0.594	0.00237164
0.595	0.00286502
0.596	0.00204272
0.597	0.00204272
0.598	0.00237164
0.599	0.00270056
0.6	0.0025361
0.601	0.00204272
0.602	0.00220718
0.603	0.00270056
0.604	0.00302947
0.605	0.00302947
0.606	0.00220718
0.607	0.00237164
0.608	0.00270056
0.609	0.00302947
0.61	0.00237164
0.611	0.00220718
0.612	0.00237164
0.613	0.0025361
0.614	0.00237164
0.615	0.00237164
0.616	0.0017138
0.617	0.00204272
0.618	0.0025361
0.619	0.00270056
0.62	0.0025361
0.621	0.00204272
0.622	0.00237164
0.623	0.0025361
0.624	0.0025361
0.625	0.0025361
0.626	0.00237164
0.627	0.00270056
0.628	0.0025361
0.629	0.0025361
0.63	0.00237164
0.631	0.00204272
0.632	0.00220718
0.633	0.00270056
0.634	0.0025361
0.635	0.0025361
0.636	0.00204272
0.637	0.00187826
0.638	0.00270056
0.639	0.00270056
0.64	0.00270056
0.641	0.00220718
0.642	0.00237164
0.643	0.00270056
0.644	0.0025361
0.645	0.0025361
0.646	0.0017138
0.647	0.00220718
0.648	0.00286502
0.649	0.00270056
0.65	0.00237164
0.651	0.00187826
0.652	0.00220718
0.653	0.00237164
0.654	0.00319393
0.655	0.00237164
0.656	0.00204272
0.657	0.00204272
0.658	0.00286502
0.659	0.00302947
0.66	0.00237164
0.661	0.00237164
0.662	0.0025361
0.663	0.0025361
0.664	0.0025361
0.665	0.00220718
0.666	0.0025361
0.667	0.00220718
0.668	0.00270056
0.669	0.0025361
0.67	0.00220718
0.671	0.00237164
0.672	0.00270056
0.673	0.0025361
0.674	0.0025361
0.675	0.00270056
0.676	0.00237164
0.677	0.00237164
0.678	0.00286502
0.679	0.00302947
0.68	0.00270056
0.681	0.00187826
0.682	0.00204272
0.683	0.00237164
0.684	0.0025361
