Time	Amplitude
0	0.766941
0.002	0.595411
0.004	0.389015
0.006	0.161403
0.008	-0.0795289
0.01	-0.311745
0.012	-0.524884
0.014	-0.705624
0.016	-0.838672
0.018	-0.918763
0.02	-0.947873
0.022	-0.9061
0.024	-0.813345
0.026	-0.669937
0.028	-0.479822
0.03	-0.261585
0.032	-0.0255864
0.034	0.213537
0.036	0.437037
0.038	0.638005
0.04	0.798353
0.042	0.910185
0.044	0.967581
0.046	0.958865
0.048	0.890121
0.05	0.766448
0.052	0.594753
0.054	0.388192
0.056	0.160746
0.058	-0.0801868
0.06	-0.312732
0.062	-0.525706
0.064	-0.706118
0.066	-0.839001
0.068	-0.918928
0.07	-0.947873
0.072	-0.905607
0.074	-0.812852
0.076	-0.669443
0.078	-0.479
0.08	-0.260763
0.082	-0.025093
0.084	0.21403
0.086	0.437694
0.088	0.638499
0.09	0.798846
0.092	0.910185
0.094	0.967581
0.096	0.9587
0.098	0.889957
0.1	0.766283
0.102	0.59393
0.104	0.38737
0.106	0.159923
0.108	-0.0810091
0.11	-0.313061
0.112	-0.525706
0.114	-0.707269
0.116	-0.839165
0.118	-0.919092
0.12	-0.948037
0.122	-0.905278
0.124	-0.812358
0.126	-0.669114
0.128	-0.479
0.13	-0.260269
0.132	-0.0239418
0.134	0.214359
0.136	0.438352
0.138	0.638828
0.14	0.79934
0.142	0.910678
0.144	0.968075
0.146	0.958372
0.148	0.889628
0.15	0.765955
0.152	0.593766
0.154	0.386548
0.156	0.158772
0.158	-0.0819958
0.16	-0.313883
0.162	-0.526693
0.164	-0.707433
0.166	-0.839658
0.168	-0.919257
0.17	-0.947873
0.172	-0.905278
0.174	-0.812029
0.176	-0.668292
0.178	-0.477849
0.18	-0.259611
0.182	-0.0234484
0.184	0.215346
0.186	0.438846
0.188	0.63965
0.19	0.799669
0.192	0.910843
0.194	0.967417
0.196	0.958043
0.198	0.889463
0.2	0.765626
0.202	0.593273
0.204	0.385725
0.206	0.158114
0.208	-0.0821603
0.21	-0.314376
0.212	-0.526857
0.214	-0.707927
0.216	-0.839987
0.218	-0.919421
0.22	-0.948037
0.222	-0.904784
0.224	-0.812029
0.226	-0.667634
0.228	-0.477191
0.23	-0.259118
0.232	-0.0222972
0.234	0.216004
0.236	0.439832
0.238	0.639979
0.24	0.800326
0.242	0.911336
0.244	0.967581
0.246	0.958043
0.248	0.888476
0.25	0.764803
0.252	0.592615
0.254	0.385232
0.256	0.157785
0.258	-0.083147
0.26	-0.31487
0.262	-0.527515
0.264	-0.70842
0.266	-0.839987
0.268	-0.919586
0.27	-0.947873
0.272	-0.904126
0.274	-0.811865
0.276	-0.667141
0.278	-0.476697
0.28	-0.258131
0.282	-0.0214749
0.284	0.216662
0.286	0.44049
0.288	0.640966
0.29	0.800655
0.292	0.911501
0.294	0.967417
0.296	0.958207
0.298	0.888641
0.3	0.764639
0.302	0.592121
0.304	0.38441
0.306	0.156799
0.308	-0.0838049
0.31	-0.315856
0.312	-0.528173
0.314	-0.708914
0.316	-0.840152
0.318	-0.919421
0.32	-0.947215
0.322	-0.904291
0.324	-0.811371
0.326	-0.666483
0.328	-0.47604
0.33	-0.257638
0.332	-0.0206526
0.334	0.217319
0.336	0.440984
0.338	0.641459
0.34	0.801149
0.342	0.911665
0.344	0.967581
0.346	0.958043
0.348	0.888476
0.35	0.763817
0.352	0.591792
0.354	0.383423
0.356	0.15647
0.358	-0.0846271
0.36	-0.316514
0.362	-0.528995
0.364	-0.709571
0.366	-0.840481
0.368	-0.920079
0.37	-0.947544
0.372	-0.904126
0.374	-0.811207
0.376	-0.66599
0.378	-0.475217
0.38	-0.256816
0.382	-0.0199948
0.384	0.218142
0.386	0.441806
0.388	0.641952
0.39	0.801313
0.392	0.912159
0.394	0.96791
0.396	0.958043
0.398	0.887983
0.4	0.763652
0.402	0.59097
0.404	0.382765
0.406	0.155154
0.408	-0.0854494
0.41	-0.316843
0.412	-0.529324
0.414	-0.710394
0.416	-0.84081
0.418	-0.920243
0.42	-0.947215
0.422	-0.903633
0.424	-0.810714
0.426	-0.665332
0.428	-0.474888
0.43	-0.255993
0.432	-0.019008
0.434	0.2188
0.436	0.442299
0.438	0.64261
0.44	0.801971
0.442	0.912816
0.444	0.96791
0.446	0.957878
0.448	0.887819
0.45	0.763159
0.452	0.590641
0.454	0.381943
0.456	0.154825
0.458	-0.0864362
0.46	-0.318159
0.462	-0.530147
0.464	-0.710558
0.466	-0.840974
0.468	-0.920243
0.47	-0.94705
0.472	-0.903633
0.474	-0.810714
0.476	-0.665003
0.478	-0.474395
0.48	-0.2555
0.482	-0.019008
0.484	0.219457
0.486	0.443286
0.488	0.642775
0.49	0.8023
0.492	0.912652
0.494	0.967746
0.496	0.957878
0.498	0.887325
0.5	0.762501
0.502	0.589655
0.504	0.381121
0.506	0.154167
0.508	-0.0872585
0.51	-0.318817
0.512	-0.530804
0.514	-0.711051
0.516	-0.841796
0.518	-0.920408
0.52	-0.94705
0.522	-0.903469
0.524	-0.81022
0.526	-0.66451
0.528	-0.473573
0.53	-0.254513
0.532	-0.0175279
0.534	0.220115
0.536	0.444273
0.538	0.643433
0.54	0.802629
0.542	0.913145
0.544	0.96791
0.546	0.957549
0.548	0.887161
0.55	0.762172
0.552	0.588832
0.554	0.380627
0.556	0.153674
0.558	-0.0879163
0.56	-0.319639
0.562	-0.531791
0.564	-0.712038
0.566	-0.841796
0.568	-0.920572
0.57	-0.946886
0.572	-0.90314
0.574	-0.809562
0.576	-0.663852
0.578	-0.472915
0.58	-0.253362
0.582	-0.0168701
0.584	0.220773
0.586	0.444602
0.588	0.643597
0.59	0.802793
0.592	0.912981
0.594	0.968075
0.596	0.957714
0.598	0.886338
0.6	0.761843
0.602	0.588339
0.604	0.380463
0.606	0.152687
0.608	-0.0890675
0.61	-0.320132
0.612	-0.532284
0.614	-0.712038
0.616	-0.841961
0.618	-0.920572
0.62	-0.946721
0.622	-0.902975
0.624	-0.809398
0.626	-0.663029
0.628	-0.472421
0.63	-0.252704
0.632	-0.0168701
0.634	0.221924
0.636	0.44526
0.638	0.644584
0.64	0.803616
0.642	0.913639
0.644	0.968075
0.646	0.957714
0.648	0.885845
0.65	0.761185
0.652	0.587681
0.654	0.379312
0.656	0.152358
0.658	-0.0897254
0.66	-0.320461
0.662	-0.532449
0.664	-0.712696
0.666	-0.841961
0.668	-0.921066
0.67	-0.946557
0.672	-0.902811
0.674	-0.808576
0.676	-0.662207
0.678	-0.471599
0.68	-0.252375
0.682	-0.0155544
0.684	0.222253
0.686	0.446575
0.688	0.644748
0.69	0.804273
0.692	0.913639
0.694	0.968239
0.696	0.957878
0.698	0.885681
0.7	0.760692
0.702	0.587023
0.704	0.378489
0.706	0.151536
0.708	-0.091041
0.71	-0.321119
0.712	-0.533436
0.714	-0.713518
0.716	-0.842619
0.718	-0.921724
0.72	-0.946557
0.722	-0.902811
0.724	-0.808411
0.726	-0.661878
0.728	-0.471106
0.73	-0.25106
0.732	-0.0147321
0.734	0.22324
0.736	0.447069
0.738	0.645571
0.74	0.804767
0.742	0.913968
0.744	0.968568
0.746	0.957385
0.748	0.885352
0.75	0.760363
0.752	0.58653
0.754	0.377502
0.756	0.150385
0.758	-0.0912055
0.76	-0.32227
0.762	-0.534094
0.764	-0.713683
0.766	-0.843112
0.768	-0.922052
0.77	-0.946557
0.772	-0.902646
0.774	-0.808247
0.776	-0.66122
0.778	-0.470612
0.78	-0.250731
0.782	-0.0140743
0.784	0.223898
0.786	0.447398
0.788	0.646064
0.79	0.80526
0.792	0.914297
0.794	0.96791
0.796	0.957056
0.798	0.885187
0.8	0.759705
0.802	0.585872
0.804	0.377174
0.806	0.149727
0.808	-0.0918633
0.81	-0.322599
0.812	-0.534916
0.814	-0.714176
0.816	-0.843112
0.818	-0.921888
0.82	-0.946392
0.822	-0.902153
0.824	-0.807589
0.826	-0.660727
0.828	-0.470119
0.83	-0.249908
0.832	-0.0130875
0.834	0.224556
0.836	0.44822
0.838	0.646228
0.84	0.80526
0.842	0.914625
0.844	0.968732
0.846	0.956727
0.848	0.884694
0.85	0.759212
0.852	0.58505
0.854	0.376187
0.856	0.14874
0.858	-0.0933435
0.86	-0.323586
0.862	-0.535574
0.864	-0.714505
0.866	-0.843934
0.868	-0.922217
0.87	-0.946557
0.872	-0.901988
0.874	-0.807096
0.876	-0.660234
0.878	-0.469461
0.88	-0.248922
0.882	-0.0125941
0.884	0.225542
0.886	0.449042
0.888	0.647051
0.89	0.806247
0.892	0.914625
0.894	0.968732
0.896	0.956891
0.898	0.883872
0.9	0.758883
0.902	0.584227
0.904	0.375693
0.906	0.148247
0.908	-0.0941658
0.91	-0.324244
0.912	-0.535903
0.914	-0.714834
0.916	-0.844428
