Frequency [Hz]	Amplitude
0	0.2649
0.1	0.169007
0.2	0.00146675
0.3	9.65E-05
0.4	1.27E-05
0.5	4.34E-06
0.6	9.50E-07
0.7	2.28E-07
0.8	2.52E-07
0.9	1.27E-07
1	4.15E-08
1.1	1.64E-08
1.2	3.21E-08
1.3	1.67E-09
1.4	8.75E-09
1.5	7.01E-09
1.6	1.16E-09
1.7	7.08E-09
1.8	3.08E-09
1.9	1.18E-11
2	1.37E-09
2.1	4.73E-09
2.2	3.41E-09
2.3	6.63E-10
2.4	1.65E-09
