Frequency	Amplitude
60.2	3.05E-08
60.4	2.01E-08
60.6	2.35E-08
60.8	2.26E-08
61	2.39E-08
61.2	2.08E-08
61.4	1.79E-08
61.6	1.53E-08
61.8	1.22E-08
62	1.49E-08
62.2	1.61E-08
62.4	2.04E-08
62.6	3.04E-08
62.8	3.94E-08
63	5.46E-08
63.2	7.08E-08
63.4	9.18E-08
63.6	1.10E-07
63.8	1.04E-07
64	8.55E-08
64.2	9.52E-08
64.4	4.98E-08
64.6	7.23E-09
64.8	2.26E-08
65	4.00E-08
65.2	3.17E-08
65.4	1.83E-08
65.6	7.54E-09
65.8	1.76E-09
66	3.24E-09
66.2	5.99E-09
66.4	1.06E-08
66.6	1.72E-08
66.8	2.46E-08
67	3.42E-08
67.2	3.12E-08
67.4	2.46E-08
67.6	2.29E-08
67.8	2.31E-08
68	2.34E-08
68.2	2.42E-08
68.4	2.66E-08
68.6	1.89E-08
68.8	2.03E-08
69	2.26E-08
69.2	1.94E-08
69.4	1.56E-08
69.6	9.13E-09
69.8	7.60E-09
70	7.65E-09
70.2	9.93E-09
70.4	1.27E-08
70.6	1.46E-08
70.8	2.15E-08
71	2.40E-08
71.2	2.08E-08
71.4	1.42E-08
71.6	1.01E-08
71.8	6.28E-09
72	2.00E-09
72.2	4.67E-09
72.4	6.99E-09
72.6	1.17E-08
72.8	2.05E-08
73	2.52E-08
73.2	2.45E-08
73.4	2.12E-08
73.6	1.94E-08
73.8	1.76E-08
74	1.76E-08
74.2	1.68E-08
74.4	2.23E-08
74.6	2.40E-08
74.8	2.85E-08
75	3.28E-08
75.2	3.84E-08
75.4	4.35E-08
75.6	4.71E-08
75.8	5.20E-08
76	4.89E-08
76.2	3.44E-08
76.4	1.99E-08
76.6	2.14E-08
76.8	2.65E-08
77	2.57E-08
77.2	2.11E-08
77.4	1.34E-08
77.6	9.43E-09
77.8	6.01E-09
78	5.46E-09
78.2	1.30E-09
78.4	5.13E-08
78.6	2.80E-07
78.8	3.29E-07
79	1.39E-07
79.2	4.95E-08
79.4	1.68E-08
79.6	6.91E-09
79.8	6.60E-09
80	8.84E-09
80.2	1.33E-08
80.4	1.56E-08
80.6	1.73E-08
80.8	1.40E-08
81	1.49E-08
81.2	1.23E-08
81.4	1.04E-08
81.6	1.08E-08
81.8	1.05E-08
82	1.14E-08
82.2	1.50E-08
82.4	1.54E-08
82.6	1.74E-08
82.8	2.23E-08
83	2.32E-08
83.2	1.94E-08
83.4	1.56E-08
83.6	1.12E-08
83.8	8.29E-09
84	7.29E-09
84.2	9.95E-09
84.4	1.46E-08
84.6	2.08E-08
84.8	2.52E-08
85	2.99E-08
85.2	2.98E-08
85.4	3.40E-08
85.6	3.66E-08
85.8	4.04E-08
86	4.06E-08
86.2	4.21E-08
86.4	4.30E-08
86.6	3.61E-08
86.8	3.55E-08
87	3.75E-08
87.2	2.84E-08
87.4	3.04E-08
87.6	2.82E-08
87.8	2.95E-08
88	3.26E-08
88.2	3.21E-08
88.4	3.56E-08
88.6	3.59E-08
88.8	3.36E-08
89	3.75E-08
89.2	3.68E-08
89.4	4.15E-08
89.6	4.37E-08
89.8	4.21E-08
90	3.37E-08
90.2	3.59E-08
90.4	4.16E-08
90.6	3.59E-08
90.8	3.91E-08
91	3.87E-08
91.2	4.22E-08
91.4	4.96E-08
91.6	5.28E-08
91.8	5.71E-08
92	6.09E-08
92.2	6.52E-08
92.4	7.00E-08
92.6	7.17E-08
92.8	6.96E-08
93	5.74E-08
93.2	5.02E-08
93.4	5.33E-08
93.6	5.64E-08
93.8	6.29E-08
94	5.29E-08
94.2	3.85E-08
94.4	4.94E-08
94.6	4.94E-08
94.8	5.40E-08
95	6.26E-08
95.2	6.68E-08
95.4	7.71E-08
95.6	9.55E-08
95.8	1.06E-07
96	1.22E-07
96.2	1.32E-07
96.4	1.44E-07
96.6	1.51E-07
96.8	1.55E-07
97	1.48E-07
97.2	1.67E-07
97.4	3.28E-07
97.6	1.61E-06
97.8	3.92E-06
98	1.16E-06
98.2	3.91E-08
98.4	3.02E-08
98.6	4.26E-08
98.8	7.63E-08
99	1.02E-07
99.2	1.20E-07
99.4	1.37E-07
99.6	1.79E-07
99.8	2.01E-07
100	2.21E-07
100.2	2.48E-07
100.4	2.71E-07
100.6	2.78E-07
100.8	1.91E-07
101	7.87E-08
101.2	1.60E-06
101.4	1.04E-05
101.6	1.01E-05
101.8	5.00E-06
102	2.43E-06
102.2	1.26E-06
102.4	6.74E-07
102.6	3.79E-07
102.8	2.36E-07
103	1.52E-07
103.2	1.02E-07
103.4	8.42E-08
103.6	6.90E-08
103.8	5.58E-08
104	5.04E-08
104.2	4.21E-08
104.4	3.89E-08
104.6	2.93E-08
104.8	1.94E-08
105	1.49E-08
105.2	3.74E-08
105.4	4.30E-08
105.6	2.44E-08
105.8	9.64E-09
106	9.55E-09
106.2	2.24E-08
106.4	3.93E-08
106.6	6.15E-08
106.8	7.76E-08
107	8.17E-08
107.2	7.79E-08
107.4	7.13E-08
107.6	5.83E-08
107.8	4.38E-08
108	3.03E-08
108.2	1.83E-08
108.4	1.13E-08
108.6	3.75E-09
108.8	1.92E-09
109	4.10E-10
109.2	1.91E-09
109.4	2.84E-09
109.6	6.36E-09
109.8	1.05E-08
110	1.46E-08
110.2	2.07E-08
110.4	2.57E-08
110.6	2.72E-08
110.8	3.11E-08
111	2.89E-08
111.2	2.90E-08
111.4	2.91E-08
111.6	2.91E-08
111.8	2.76E-08
112	2.74E-08
112.2	3.26E-08
112.4	3.69E-08
112.6	3.85E-08
112.8	4.04E-08
113	4.57E-08
113.2	3.96E-08
113.4	4.12E-08
113.6	3.48E-08
113.8	3.58E-08
114	2.83E-08
114.2	2.37E-08
114.4	1.77E-08
114.6	1.14E-08
114.8	7.32E-09
115	3.69E-09
115.2	1.51E-09
115.4	4.53E-09
115.6	9.54E-09
115.8	1.62E-08
116	2.59E-08
116.2	3.14E-08
116.4	4.02E-08
116.6	4.02E-08
116.8	3.40E-08
117	2.53E-08
117.2	1.33E-08
117.4	4.05E-09
117.6	2.51E-09
117.8	1.29E-08
118	3.17E-08
118.2	5.27E-08
118.4	6.39E-08
118.6	5.85E-08
118.8	7.25E-08
119	1.04E-07
119.2	1.20E-07
119.4	1.42E-07
119.6	1.76E-07
119.8	2.07E-07
120	2.35E-07
120.2	2.59E-07
120.4	2.69E-07
120.6	2.57E-07
120.8	2.44E-07
121	2.08E-07
121.2	1.67E-07
121.4	1.32E-07
121.6	1.57E-07
121.8	3.08E-07
122	5.94E-07
122.2	8.41E-07
122.4	6.41E-07
122.6	2.22E-07
122.8	2.92E-07
123	3.26E-07
123.2	3.59E-07
123.4	3.94E-07
123.6	4.30E-07
123.8	4.76E-07
124	5.06E-07
124.2	5.68E-07
124.4	6.65E-07
124.6	7.58E-07
124.8	8.99E-07
125	1.07E-06
125.2	1.37E-06
125.4	2.98E-06
125.6	6.01E-06
125.8	8.71E-06
126	1.38E-05
126.2	7.17E-06
126.4	1.34E-06
126.6	5.08E-07
126.8	1.92E-07
127	7.28E-08
127.2	2.38E-08
127.4	9.48E-09
127.6	1.06E-08
127.8	1.34E-08
128	1.94E-08
128.2	2.55E-08
128.4	3.20E-08
128.6	3.35E-08
128.8	3.79E-08
129	3.71E-08
129.2	3.89E-08
129.4	5.21E-08
129.6	3.97E-08
129.8	3.51E-08
130	4.58E-08
130.2	2.43E-08
130.4	1.89E-08
130.6	2.09E-08
130.8	2.99E-08
131	2.52E-08
131.2	1.51E-08
131.4	7.67E-09
131.6	5.84E-09
131.8	2.04E-09
132	1.15E-09
132.2	1.92E-10
132.4	2.55E-10
132.6	1.14E-12
132.8	1.04E-10
133	3.84E-10
133.2	8.95E-12
133.4	6.08E-10
133.6	8.40E-10
133.8	5.71E-10
