Frequency	Amplitude
263.2	3.01E-09
263.4	2.02E-09
263.6	7.70E-10
263.8	1.14E-10
264	2.43E-11
264.2	1.60E-10
264.4	5.47E-10
264.6	1.03E-09
264.8	2.97E-09
265	2.93E-09
265.2	2.88E-09
265.4	1.60E-09
265.6	3.87E-10
265.8	1.82E-09
266	3.90E-09
266.2	4.40E-09
266.4	4.04E-09
266.6	5.53E-09
266.8	4.54E-09
267	3.99E-09
267.2	4.11E-09
267.4	3.16E-09
267.6	3.59E-09
267.8	2.44E-09
268	2.15E-09
268.2	2.08E-09
268.4	1.57E-09
268.6	2.38E-09
268.8	2.59E-09
269	2.80E-09
269.2	2.84E-09
269.4	4.11E-09
269.6	5.48E-09
269.8	4.26E-09
270	5.33E-09
270.2	6.04E-09
270.4	4.76E-09
270.6	3.10E-09
270.8	3.21E-09
271	1.51E-09
271.2	1.60E-09
271.4	9.85E-10
271.6	7.85E-10
271.8	1.01E-09
272	1.06E-09
272.2	1.02E-09
272.4	1.82E-09
272.6	2.04E-09
272.8	1.76E-09
273	2.59E-09
273.2	2.07E-09
273.4	1.31E-09
273.6	1.13E-09
273.8	6.74E-10
274	9.96E-10
274.2	6.28E-10
274.4	7.40E-10
274.6	1.01E-09
274.8	1.28E-09
275	2.40E-09
275.2	2.22E-09
275.4	2.80E-09
275.6	1.85E-09
275.8	3.02E-09
276	2.11E-09
276.2	2.64E-09
276.4	1.81E-09
276.6	2.81E-09
276.8	2.15E-09
277	3.38E-09
277.2	3.48E-09
277.4	3.81E-09
277.6	4.52E-09
277.8	5.22E-09
278	5.80E-09
278.2	5.21E-09
278.4	5.69E-09
278.6	7.22E-09
278.8	4.92E-09
279	4.72E-09
279.2	4.79E-09
279.4	3.21E-09
279.6	1.67E-09
279.8	7.10E-10
280	7.43E-10
280.2	3.54E-10
280.4	7.89E-10
280.6	1.02E-09
280.8	3.23E-09
281	4.64E-09
281.2	7.13E-09
281.4	9.27E-09
281.6	9.83E-09
281.8	9.82E-09
282	9.19E-09
282.2	6.22E-09
282.4	3.11E-09
282.6	2.41E-09
282.8	4.30E-09
283	5.77E-09
283.2	6.92E-09
283.4	4.81E-09
283.6	5.46E-09
283.8	1.13E-08
284	1.78E-08
284.2	2.21E-08
284.4	2.34E-08
284.6	2.13E-08
284.8	1.57E-08
285	1.03E-08
285.2	5.85E-09
285.4	3.37E-09
285.6	2.31E-09
285.8	2.64E-09
286	3.20E-09
286.2	5.52E-09
286.4	9.36E-09
286.6	1.28E-08
286.8	1.66E-08
287	2.21E-08
287.2	3.08E-08
287.4	4.56E-08
287.6	7.00E-08
287.8	1.21E-07
288	2.18E-07
288.2	3.97E-07
288.4	4.39E-07
288.6	1.62E-07
288.8	2.14E-08
289	3.96E-10
289.2	4.65E-09
289.4	1.01E-08
289.6	9.69E-09
289.8	1.28E-08
290	1.21E-08
290.2	1.40E-08
290.4	1.39E-08
290.6	8.60E-09
290.8	4.05E-09
291	3.28E-09
291.2	2.54E-09
291.4	2.03E-09
291.6	1.20E-09
291.8	1.08E-09
292	9.01E-10
292.2	1.51E-09
292.4	4.83E-09
292.6	4.71E-09
292.8	8.23E-09
293	1.50E-08
293.2	4.14E-08
293.4	7.78E-08
293.6	7.54E-08
293.8	5.77E-08
294	3.55E-08
294.2	3.13E-08
294.4	2.58E-08
294.6	1.50E-08
294.8	6.75E-09
295	2.59E-09
295.2	1.04E-10
295.4	9.69E-10
295.6	4.64E-09
295.8	2.30E-08
296	4.39E-08
296.2	4.26E-08
296.4	3.30E-08
296.6	2.39E-08
296.8	1.94E-08
297	1.97E-08
297.2	2.12E-08
297.4	2.53E-08
297.6	3.21E-08
297.8	3.36E-08
298	3.57E-08
298.2	4.12E-08
298.4	3.89E-08
298.6	3.58E-08
298.8	3.64E-08
299	3.21E-08
299.2	3.02E-08
299.4	2.38E-08
299.6	2.07E-08
299.8	2.05E-08
300	1.46E-08
300.2	2.16E-08
300.4	1.65E-08
300.6	1.20E-08
300.8	7.52E-09
301	5.54E-09
301.2	4.78E-09
301.4	9.22E-09
301.6	1.54E-08
301.8	2.13E-08
302	3.05E-08
302.2	3.53E-08
302.4	1.99E-08
302.6	8.87E-09
302.8	1.20E-08
303	1.46E-08
303.2	1.79E-08
303.4	1.70E-08
303.6	1.72E-08
303.8	1.82E-08
304	1.77E-08
304.2	1.57E-08
304.4	1.65E-08
304.6	1.42E-08
304.8	1.20E-08
305	1.36E-08
305.2	1.53E-08
305.4	1.93E-08
305.6	2.63E-08
305.8	3.06E-08
306	2.99E-08
306.2	3.41E-08
306.4	1.16E-07
306.6	1.71E-07
306.8	7.81E-08
307	2.16E-08
307.2	6.64E-09
307.4	4.84E-09
307.6	1.15E-08
307.8	2.25E-08
308	2.46E-08
308.2	2.45E-08
308.4	2.93E-08
308.6	3.23E-08
308.8	3.80E-08
309	3.96E-08
309.2	4.35E-08
309.4	4.50E-08
309.6	4.53E-08
309.8	4.28E-08
310	3.98E-08
310.2	3.67E-08
310.4	3.71E-08
310.6	3.20E-08
310.8	2.66E-08
311	2.93E-08
311.2	3.02E-08
311.4	3.15E-08
311.6	3.72E-08
311.8	3.83E-08
312	4.35E-08
312.2	4.74E-08
312.4	4.41E-08
312.6	3.82E-08
312.8	3.73E-08
313	4.24E-08
313.2	4.28E-08
313.4	4.28E-08
313.6	3.91E-08
313.8	3.30E-08
314	3.51E-08
314.2	3.32E-08
314.4	3.52E-08
314.6	3.97E-08
314.8	4.47E-08
315	5.37E-08
315.2	5.69E-08
315.4	6.93E-08
315.6	7.86E-08
315.8	8.30E-08
316	8.92E-08
316.2	8.76E-08
316.4	8.84E-08
316.6	7.79E-08
316.8	7.64E-08
317	6.82E-08
317.2	6.02E-08
317.4	6.90E-08
317.6	6.81E-08
317.8	5.31E-08
318	5.48E-08
318.2	6.17E-08
318.4	6.09E-08
318.6	6.73E-08
318.8	8.02E-08
319	8.80E-08
319.2	9.90E-08
319.4	1.11E-07
319.6	1.19E-07
319.8	1.26E-07
320	1.36E-07
320.2	1.48E-07
320.4	1.79E-07
320.6	2.29E-07
320.8	2.82E-07
321	3.14E-07
321.2	2.74E-07
321.4	1.88E-07
321.6	2.73E-07
321.8	3.87E-07
322	4.58E-07
322.2	5.83E-07
322.4	6.72E-07
322.6	7.47E-07
322.8	8.76E-07
323	1.00E-06
323.2	1.15E-06
323.4	1.31E-06
323.6	1.45E-06
323.8	1.54E-06
324	1.56E-06
324.2	1.43E-06
324.4	2.59E-07
324.6	6.73E-06
324.8	2.41E-05
325	0.000473832
325.2	0.000693674
325.4	0.000156246
325.6	2.53E-05
325.8	8.62E-06
326	3.73E-06
326.2	1.75E-06
326.4	8.09E-07
326.6	3.49E-07
326.8	1.29E-07
327	4.22E-08
327.2	9.94E-09
327.4	6.62E-09
327.6	1.49E-08
327.8	3.22E-08
328	4.84E-08
328.2	6.67E-08
328.4	1.12E-07
328.6	4.36E-08
328.8	1.22E-07
329	6.49E-07
329.2	9.01E-07
329.4	8.56E-07
329.6	6.56E-07
329.8	4.68E-07
330	3.11E-07
330.2	2.05E-07
330.4	1.42E-07
330.6	1.09E-07
330.8	9.89E-08
331	1.02E-07
331.2	1.14E-07
331.4	1.15E-07
331.6	1.22E-07
331.8	1.13E-07
332	1.08E-07
332.2	9.95E-08
332.4	9.10E-08
332.6	8.12E-08
332.8	7.15E-08
333	6.19E-08
333.2	5.94E-08
333.4	5.29E-08
333.6	4.09E-08
333.8	3.12E-08
334	1.83E-08
334.2	1.22E-08
334.4	7.23E-09
334.6	5.35E-09
334.8	5.50E-09
335	4.71E-09
335.2	5.84E-09
335.4	5.58E-09
335.6	4.32E-09
335.8	3.02E-09
336	2.03E-09
336.2	4.00E-10
336.4	2.43E-10
336.6	5.06E-10
336.8	1.99E-09
337	3.89E-09
337.2	6.86E-09
337.4	9.66E-09
337.6	1.43E-08
337.8	1.69E-08
338	2.23E-08
338.2	2.43E-08
338.4	2.72E-08
338.6	2.60E-08
338.8	2.38E-08
339	2.02E-08
339.2	1.58E-08
339.4	1.12E-08
339.6	8.00E-09
339.8	5.40E-09
340	4.77E-09
340.2	5.49E-09
340.4	9.59E-09
340.6	1.08E-08
340.8	1.62E-08
341	2.11E-08
341.2	2.14E-08
341.4	1.99E-08
341.6	1.60E-08
341.8	1.14E-08
342	1.09E-08
342.2	9.88E-09
342.4	8.79E-09
342.6	6.53E-09
342.8	6.12E-09
343	4.80E-09
343.2	6.13E-09
343.4	8.22E-09
343.6	1.27E-08
343.8	2.03E-08
344	2.97E-08
344.2	4.27E-08
344.4	5.58E-08
344.6	7.11E-08
344.8	8.08E-08
345	8.41E-08
345.2	7.72E-08
345.4	7.22E-08
345.6	5.25E-08
345.8	3.10E-08
346	1.14E-08
346.2	2.08E-09
346.4	5.14E-09
346.6	8.11E-09
346.8	1.34E-08
347	1.71E-08
347.2	2.55E-08
347.4	3.39E-08
347.6	4.52E-08
347.8	5.54E-08
348	7.21E-08
348.2	9.42E-08
348.4	1.06E-07
348.6	1.30E-07
348.8	1.46E-07
349	1.59E-07
349.2	1.62E-07
349.4	1.34E-07
349.6	1.74E-07
349.8	2.30E-07
350	1.12E-07
350.2	4.69E-08
350.4	2.86E-08
350.6	2.39E-08
350.8	3.14E-08
351	3.12E-08
351.2	3.37E-08
351.4	3.35E-08
351.6	3.15E-08
351.8	2.99E-08
352	2.93E-08
352.2	2.79E-08
352.4	2.83E-08
352.6	2.68E-08
352.8	2.31E-08
353	2.72E-08
353.2	7.85E-08
353.4	1.22E-07
353.6	3.25E-07
353.8	3.84E-07
354	9.04E-08
354.2	5.03E-08
354.4	4.16E-08
354.6	2.91E-08
354.8	2.45E-08
355	2.40E-08
355.2	2.57E-08
355.4	2.59E-08
355.6	2.77E-08
355.8	2.82E-08
356	2.43E-08
356.2	2.39E-08
356.4	2.53E-08
356.6	2.41E-08
356.8	2.09E-08
357	2.50E-08
357.2	2.25E-08
357.4	1.57E-08
357.6	2.05E-08
357.8	2.74E-08
358	3.07E-08
358.2	2.91E-08
358.4	3.05E-08
358.6	2.91E-08
358.8	2.93E-08
359	3.32E-08
359.2	3.59E-08
359.4	3.33E-08
359.6	3.76E-08
359.8	3.81E-08
360	3.74E-08
360.2	3.17E-08
360.4	3.11E-08
360.6	2.86E-08
360.8	2.04E-08
361	1.84E-08
361.2	1.92E-08
361.4	1.33E-08
361.6	1.07E-08
361.8	1.36E-08
362	1.57E-08
362.2	1.74E-08
362.4	1.89E-08
362.6	2.26E-08
362.8	2.30E-08
363	2.36E-08
363.2	2.31E-08
363.4	2.38E-08
363.6	2.50E-08
363.8	2.68E-08
364	2.76E-08
364.2	2.87E-08
364.4	2.97E-08
364.6	3.55E-08
364.8	3.40E-08
365	3.43E-08
365.2	3.74E-08
365.4	3.49E-08
365.6	3.61E-08
365.8	3.37E-08
366	3.08E-08
366.2	3.00E-08
366.4	3.07E-08
366.6	3.15E-08
366.8	3.04E-08
367	2.95E-08
367.2	2.72E-08
367.4	2.74E-08
367.6	2.28E-08
367.8	2.28E-08
368	2.36E-08
368.2	2.52E-08
368.4	2.66E-08
368.6	2.88E-08
368.8	2.75E-08
369	3.37E-08
369.2	3.10E-08
369.4	2.89E-08
369.6	2.75E-08
369.8	2.91E-08
370	2.79E-08
370.2	2.72E-08
370.4	3.05E-08
370.6	3.18E-08
370.8	3.36E-08
371	3.54E-08
371.2	3.41E-08
371.4	3.34E-08
371.6	3.01E-08
371.8	2.46E-08
372	2.19E-08
372.2	2.26E-08
372.4	2.66E-08
372.6	3.65E-08
372.8	3.98E-08
373	2.21E-08
373.2	1.51E-08
373.4	1.20E-08
373.6	1.07E-08
373.8	1.09E-08
374	1.18E-08
374.2	1.64E-08
374.4	2.14E-08
374.6	2.80E-08
374.8	3.81E-08
375	3.94E-08
375.2	4.40E-08
375.4	4.09E-08
375.6	3.69E-08
375.8	3.78E-08
376	2.98E-08
376.2	3.34E-08
376.4	3.19E-08
376.6	3.59E-08
376.8	3.65E-08
377	3.57E-08
377.2	3.09E-08
377.4	3.07E-08
377.6	2.52E-08
377.8	2.06E-08
378	1.81E-08
378.2	3.36E-08
378.4	5.68E-08
378.6	2.94E-08
378.8	9.29E-09
379	5.57E-09
379.2	5.44E-09
379.4	6.98E-09
379.6	9.43E-09
379.8	1.12E-08
380	1.47E-08
380.2	1.50E-08
380.4	2.19E-08
380.6	2.28E-08
380.8	2.68E-08
381	2.60E-08
381.2	2.81E-08
381.4	2.19E-08
381.6	1.98E-08
381.8	1.57E-08
382	1.26E-08
382.2	1.03E-08
382.4	1.26E-08
382.6	1.35E-08
382.8	1.19E-08
383	1.17E-08
383.2	1.14E-08
383.4	1.02E-08
383.6	6.36E-09
383.8	5.69E-09
384	5.52E-09
384.2	4.68E-09
384.4	8.87E-09
384.6	2.23E-08
384.8	3.29E-08
385	2.88E-08
385.2	2.33E-08
385.4	2.42E-08
385.6	2.50E-08
385.8	2.10E-08
386	2.32E-08
386.2	3.03E-08
386.4	3.30E-08
386.6	3.01E-08
386.8	2.40E-08
387	2.04E-08
387.2	2.79E-08
387.4	2.84E-08
387.6	2.88E-08
387.8	3.09E-08
388	2.91E-08
388.2	3.18E-08
388.4	2.96E-08
388.6	2.63E-08
388.8	2.91E-08
389	2.89E-08
389.2	3.10E-08
389.4	3.78E-08
389.6	3.93E-08
389.8	4.21E-08
390	4.13E-08
390.2	2.58E-08
390.4	3.80E-08
390.6	3.78E-08
390.8	4.37E-08
391	5.89E-08
391.2	2.75E-08
391.4	2.75E-08
391.6	3.71E-07
391.8	4.78E-07
392	2.67E-07
392.2	1.41E-07
392.4	8.00E-08
392.6	4.14E-08
392.8	2.05E-08
393	1.35E-08
393.2	7.61E-09
393.4	7.20E-09
393.6	7.24E-09
393.8	9.61E-09
394	1.19E-08
394.2	1.23E-08
394.4	1.25E-08
394.6	1.04E-08
394.8	1.09E-08
395	1.32E-08
395.2	1.23E-08
395.4	1.17E-08
395.6	1.00E-08
395.8	8.66E-09
396	8.39E-09
396.2	7.04E-09
396.4	5.92E-09
396.6	5.93E-09
396.8	8.03E-09
397	9.73E-09
397.2	1.99E-08
397.4	1.97E-08
397.6	1.67E-08
397.8	2.77E-08
398	2.89E-08
398.2	2.17E-08
398.4	1.58E-08
398.6	1.24E-08
398.8	1.05E-08
399	1.12E-08
399.2	1.04E-08
399.4	1.05E-08
399.6	1.12E-08
399.8	1.20E-08
400	1.11E-08
400.2	1.31E-08
400.4	1.34E-08
400.6	1.64E-08
400.8	1.71E-08
401	1.81E-08
401.2	1.95E-08
401.4	2.25E-08
401.6	2.55E-08
401.8	1.85E-08
402	1.78E-08
402.2	1.71E-08
402.4	1.31E-08
402.6	1.15E-08
402.8	1.04E-08
403	8.54E-09
403.2	1.17E-08
403.4	1.24E-08
403.6	1.91E-08
403.8	2.01E-08
404	2.06E-08
404.2	2.11E-08
404.4	2.53E-08
404.6	2.60E-08
404.8	3.04E-08
405	3.31E-08
405.2	3.41E-08
405.4	3.51E-08
405.6	3.45E-08
405.8	3.46E-08
406	2.80E-08
406.2	3.19E-08
406.4	2.79E-08
406.6	2.54E-08
406.8	2.46E-08
407	2.25E-08
407.2	2.28E-08
407.4	2.37E-08
407.6	2.52E-08
407.8	2.55E-08
408	2.40E-08
408.2	2.28E-08
408.4	2.66E-08
408.6	2.52E-08
408.8	2.70E-08
409	2.73E-08
409.2	2.46E-08
409.4	2.81E-08
409.6	2.91E-08
409.8	2.72E-08
410	2.97E-08
410.2	2.80E-08
410.4	2.95E-08
410.6	2.89E-08
410.8	2.99E-08
411	3.16E-08
411.2	3.26E-08
411.4	3.25E-08
411.6	3.29E-08
411.8	3.52E-08
412	3.60E-08
412.2	3.21E-08
412.4	3.31E-08
412.6	3.35E-08
412.8	3.14E-08
413	2.94E-08
413.2	2.55E-08
413.4	2.52E-08
413.6	2.12E-08
413.8	1.84E-08
414	1.65E-08
414.2	1.71E-08
414.4	1.49E-08
414.6	1.41E-08
414.8	1.29E-08
415	1.22E-08
415.2	1.46E-08
415.4	2.02E-08
415.6	2.33E-08
415.8	3.44E-08
416	4.83E-08
416.2	5.16E-08
416.4	5.81E-08
416.6	6.63E-08
416.8	7.04E-08
417	7.76E-08
417.2	8.73E-08
417.4	9.76E-08
417.6	9.82E-08
417.8	9.26E-08
418	3.87E-08
418.2	1.96E-08
418.4	6.05E-08
418.6	5.81E-08
418.8	5.50E-08
419	5.65E-08
419.2	3.91E-08
419.4	4.16E-08
419.6	4.10E-08
419.8	4.36E-08
420	4.38E-08
420.2	5.32E-08
420.4	5.21E-08
420.6	5.86E-08
420.8	7.05E-08
421	8.29E-08
421.2	9.94E-08
421.4	1.12E-07
421.6	1.34E-07
421.8	1.99E-07
422	3.22E-07
422.2	5.28E-07
422.4	1.32E-06
422.6	1.13E-06
422.8	2.26E-07
423	2.13E-06
423.2	1.57E-06
423.4	6.36E-07
423.6	4.29E-07
423.8	3.51E-07
424	2.99E-07
424.2	2.60E-07
424.4	2.28E-07
424.6	2.11E-07
424.8	1.94E-07
425	1.84E-07
425.2	1.73E-07
425.4	1.57E-07
425.6	1.47E-07
425.8	1.34E-07
426	1.14E-07
426.2	1.13E-07
426.4	1.21E-07
426.6	5.24E-08
426.8	1.50E-09
427	1.48E-08
427.2	5.58E-08
427.4	9.65E-08
427.6	1.17E-07
427.8	1.29E-07
428	1.23E-07
428.2	1.21E-07
428.4	9.72E-08
428.6	7.89E-08
428.8	5.74E-08
429	4.13E-08
429.2	2.94E-08
429.4	2.00E-08
429.6	1.19E-08
429.8	6.96E-09
430	1.41E-09
430.2	2.59E-09
430.4	2.57E-09
430.6	3.22E-09
430.8	6.81E-09
431	1.32E-08
431.2	2.33E-08
431.4	3.04E-08
431.6	3.51E-08
431.8	3.01E-08
432	2.60E-08
432.2	1.87E-08
432.4	1.15E-08
432.6	6.84E-09
432.8	3.24E-09
433	1.78E-09
433.2	2.84E-09
433.4	4.83E-09
433.6	8.67E-09
433.8	9.33E-09
434	1.48E-08
434.2	1.72E-08
434.4	1.61E-08
434.6	1.82E-08
434.8	1.99E-08
435	2.14E-08
435.2	2.55E-08
435.4	2.39E-08
435.6	2.10E-08
435.8	1.92E-08
436	1.33E-08
436.2	1.27E-08
436.4	1.06E-08
436.6	8.77E-09
436.8	8.94E-09
437	9.39E-09
437.2	9.73E-09
437.4	1.24E-08
437.6	1.15E-08
437.8	1.14E-08
438	9.32E-09
438.2	7.41E-09
438.4	5.45E-09
438.6	3.53E-09
438.8	1.83E-09
439	1.52E-09
439.2	3.51E-10
439.4	1.74E-10
439.6	5.77E-10
439.8	2.28E-09
440	4.03E-09
440.2	5.69E-09
440.4	9.88E-09
440.6	9.39E-09
440.8	1.23E-08
441	1.19E-08
441.2	1.12E-08
441.4	8.67E-09
441.6	8.29E-09
441.8	6.17E-09
442	8.05E-09
442.2	9.27E-09
442.4	1.63E-08
442.6	2.44E-08
442.8	3.17E-08
443	3.65E-08
443.2	4.03E-08
443.4	3.36E-08
443.6	2.67E-08
443.8	2.64E-08
444	2.81E-08
444.2	2.04E-08
444.4	2.42E-08
444.6	2.32E-08
444.8	3.06E-08
445	4.49E-08
445.2	7.96E-08
445.4	1.44E-07
445.6	2.50E-07
445.8	4.39E-07
446	7.28E-07
446.2	1.21E-06
446.4	1.97E-06
446.6	3.16E-06
446.8	5.04E-06
447	7.94E-06
447.2	1.16E-05
447.4	1.04E-05
447.6	2.29E-06
447.8	9.09E-07
448	3.41E-07
448.2	3.09E-07
448.4	2.76E-07
448.6	2.59E-07
448.8	2.46E-07
449	2.27E-07
449.2	1.95E-07
449.4	1.66E-07
449.6	1.46E-07
449.8	1.28E-07
450	1.12E-07
450.2	8.70E-08
450.4	6.86E-08
450.6	4.34E-08
450.8	3.77E-07
451	7.42E-06
451.2	1.28E-05
451.4	3.67E-06
451.6	1.04E-06
451.8	3.60E-07
452	1.55E-07
452.2	9.29E-08
452.4	6.32E-08
452.6	5.20E-08
452.8	3.80E-08
453	3.01E-08
453.2	1.82E-08
453.4	1.38E-08
453.6	7.87E-09
453.8	5.41E-09
454	2.72E-09
454.2	1.37E-09
454.4	6.97E-10
454.6	3.02E-09
454.8	1.89E-09
455	7.39E-10
455.2	3.30E-09
455.4	5.55E-09
455.6	5.01E-09
455.8	3.04E-09
456	1.31E-09
456.2	6.12E-10
456.4	3.00E-10
456.6	4.09E-10
456.8	7.94E-10
457	1.30E-09
457.2	1.64E-09
457.4	9.61E-10
457.6	8.68E-10
457.8	1.21E-09
458	1.67E-09
458.2	2.05E-09
458.4	8.74E-10
458.6	2.49E-09
458.8	3.44E-09
459	2.65E-09
459.2	2.14E-09
459.4	1.73E-09
459.6	1.17E-09
459.8	5.19E-10
460	8.20E-11
460.2	5.98E-11
460.4	8.19E-10
460.6	1.44E-09
460.8	1.43E-09
461	1.98E-09
461.2	1.50E-09
461.4	2.55E-09
461.6	1.62E-09
461.8	1.13E-09
462	1.35E-09
462.2	4.83E-10
462.4	1.54E-10
462.6	9.30E-10
462.8	2.36E-09
463	6.30E-09
463.2	1.06E-08
463.4	2.03E-08
463.6	3.20E-08
463.8	3.94E-08
464	1.80E-08
464.2	2.47E-09
464.4	2.65E-10
464.6	5.00E-10
464.8	5.65E-10
465	9.91E-10
465.2	7.25E-10
465.4	8.30E-10
465.6	8.09E-10
465.8	3.79E-10
466	1.35E-10
466.2	3.11E-10
466.4	4.18E-10
466.6	2.03E-09
466.8	4.17E-09
467	5.47E-09
467.2	7.40E-09
467.4	8.36E-09
467.6	1.03E-08
467.8	1.10E-08
468	1.18E-08
468.2	1.13E-08
468.4	9.17E-09
468.6	1.16E-08
468.8	1.05E-08
469	7.59E-09
469.2	6.98E-09
469.4	8.70E-09
469.6	1.35E-08
469.8	1.42E-08
470	1.24E-08
470.2	1.07E-08
470.4	7.25E-09
470.6	5.77E-09
470.8	4.42E-09
471	2.90E-09
471.2	1.87E-09
471.4	8.71E-10
471.6	2.21E-10
471.8	2.31E-11
472	5.85E-10
472.2	9.28E-10
472.4	1.51E-09
472.6	2.48E-09
472.8	2.55E-09
473	2.56E-09
473.2	4.30E-09
473.4	5.18E-09
473.6	4.72E-09
473.8	4.82E-09
474	6.69E-09
474.2	6.99E-09
474.4	8.85E-09
474.6	1.11E-08
474.8	1.17E-08
475	9.99E-09
475.2	1.17E-08
475.4	8.37E-09
475.6	8.23E-09
475.8	5.36E-09
476	4.26E-09
476.2	4.99E-09
476.4	5.93E-09
476.6	4.67E-09
476.8	3.93E-09
477	3.33E-09
477.2	3.74E-09
477.4	6.12E-09
477.6	6.61E-09
477.8	8.25E-09
478	9.74E-09
478.2	1.25E-08
478.4	1.54E-08
478.6	1.74E-08
478.8	1.78E-08
479	1.75E-08
479.2	1.45E-08
479.4	1.28E-08
479.6	1.07E-08
479.8	7.72E-09
480	7.00E-09
480.2	1.21E-08
480.4	2.96E-08
480.6	2.05E-08
480.8	1.50E-08
481	1.62E-08
481.2	1.55E-08
481.4	2.10E-08
481.6	4.03E-08
481.8	6.97E-08
482	7.71E-08
482.2	5.71E-08
482.4	5.21E-08
482.6	2.86E-07
482.8	1.32E-06
483	1.93E-06
483.2	1.18E-06
483.4	6.96E-07
483.6	4.53E-07
483.8	3.22E-07
484	2.35E-07
484.2	1.91E-07
484.4	1.40E-07
484.6	1.17E-07
484.8	1.02E-07
485	8.34E-08
485.2	7.24E-08
485.4	6.46E-08
485.6	5.41E-08
485.8	4.30E-08
486	3.25E-08
486.2	2.52E-08
486.4	1.49E-08
486.6	1.21E-08
486.8	4.33E-09
487	1.62E-09
487.2	6.44E-10
487.4	8.60E-10
487.6	1.19E-09
487.8	9.69E-10
488	6.75E-10
488.2	4.09E-09
488.4	1.00E-08
488.6	1.14E-08
488.8	1.49E-08
489	1.75E-08
489.2	1.73E-08
489.4	1.93E-08
489.6	1.83E-08
489.8	1.61E-08
490	1.49E-08
490.2	1.17E-08
490.4	1.06E-08
490.6	7.68E-09
490.8	6.89E-09
491	6.94E-09
491.2	3.87E-09
491.4	4.46E-09
491.6	4.71E-09
491.8	4.07E-09
492	5.19E-09
492.2	4.87E-09
492.4	4.54E-09
492.6	3.59E-09
492.8	3.72E-09
493	3.28E-09
493.2	2.48E-09
493.4	4.66E-09
493.6	4.79E-09
493.8	5.01E-09
494	3.87E-09
494.2	3.58E-09
494.4	4.02E-09
494.6	3.34E-09
494.8	2.41E-09
495	2.60E-09
495.2	1.76E-09
495.4	1.07E-09
495.6	1.01E-09
495.8	1.11E-09
496	6.97E-10
496.2	9.18E-10
496.4	1.11E-09
496.6	1.11E-09
496.8	1.44E-09
497	1.06E-09
497.2	1.52E-09
497.4	1.50E-09
497.6	1.73E-09
497.8	2.45E-09
498	1.00E-09
498.2	1.79E-09
498.4	1.13E-09
498.6	1.30E-09
498.8	1.79E-09
499	1.63E-09
499.2	1.81E-09
499.4	1.54E-09
499.6	1.05E-09
499.8	1.11E-09
