Time (s)	Measured Amplitude (V)
36.2	1.49796
36.3	1.49911
36.4	1.49895
36.5	1.49911
36.6	1.49961
36.7	1.49977
36.8	1.49977
36.9	1.50026
37	1.50026
37.1	1.50059
37.2	1.50076
37.3	1.50125
37.4	1.50125
37.5	1.50125
37.6	1.50142
37.7	1.50174
37.8	1.50207
37.9	1.5024
38	1.5024
38.1	1.50257
38.2	1.5029
38.3	1.50306
38.4	1.50355
38.5	1.50322
38.6	1.50339
38.7	1.50388
38.8	1.50388
38.9	1.50405
39	1.50421
39.1	1.50454
39.2	1.50454
39.3	1.50421
39.4	1.50487
39.5	1.50487
39.6	1.50503
39.7	1.50553
39.8	1.50553
39.9	1.50553
40	1.50569
40.1	1.50602
40.2	1.50602
40.3	1.50618
40.4	1.50618
40.5	1.50651
40.6	1.50651
40.7	1.50635
40.8	1.50684
40.9	1.50701
41	1.50717
41.1	1.50734
41.2	1.50734
41.3	1.50766
41.4	1.50766
41.5	1.50783
41.6	1.50766
41.7	1.50799
41.8	1.50799
41.9	1.50816
42	1.50849
42.1	1.50849
42.2	1.50865
42.3	1.50849
42.4	1.50898
42.5	1.50931
42.6	1.50898
42.7	1.50914
42.8	1.50947
42.9	1.50964
43	1.50947
43.1	1.5098
43.2	1.50964
43.3	1.5098
43.4	1.51013
43.5	1.50997
43.6	1.5103
43.7	1.5103
43.8	1.51046
43.9	1.51046
44	1.51062
44.1	1.50997
44.2	1.51095
44.3	1.51095
44.4	1.51095
44.5	1.51128
44.6	1.51128
44.7	1.51145
44.8	1.51161
44.9	1.51161
45	1.51161
45.1	1.51178
45.2	1.51161
45.3	1.51194
45.4	1.51178
45.5	1.51211
45.6	1.51211
45.7	1.51227
45.8	1.51227
45.9	1.51227
46	1.51211
46.1	1.51243
46.2	1.51243
46.3	1.5126
46.4	1.51243
46.5	1.51293
46.6	1.51276
46.7	1.51194
46.8	1.51293
46.9	1.51293
47	1.51293
47.1	1.51309
47.2	1.51342
47.3	1.51309
47.4	1.51342
47.5	1.51342
47.6	1.51293
47.7	1.51359
47.8	1.51342
47.9	1.51375
48	1.51375
48.1	1.51375
48.2	1.51359
48.3	1.51391
48.4	1.51408
48.5	1.51424
48.6	1.51424
48.7	1.51408
48.8	1.51441
48.9	1.51408
49	1.51424
49.1	1.51457
49.2	1.51424
49.3	1.51441
49.4	1.51441
49.5	1.51457
49.6	1.51441
49.7	1.51457
49.8	1.51457
49.9	1.51474
50	1.51457
50.1	1.51474
50.2	1.51457
50.3	1.5149
50.4	1.51457
50.5	1.5149
50.6	1.51474
50.7	1.5149
50.8	1.5149
50.9	1.51507
51	1.51474
51.1	1.5149
51.2	1.51474
51.3	1.51507
51.4	1.5149
51.5	1.5149
51.6	1.51523
51.7	1.51523
51.8	1.51523
51.9	1.51523
52	1.51507
52.1	1.51441
52.2	1.51507
52.3	1.51539
52.4	1.51539
52.5	1.51523
52.6	1.51507
52.7	1.51539
52.8	1.51556
52.9	1.51539
53	1.51523
53.1	1.51523
53.2	1.51539
53.3	1.51539
53.4	1.51556
53.5	1.51539
