Time (s)	Measured Amplitude (V)
30.5	0.0545051
30.6	0.0540117
30.7	0.0536828
30.8	0.0535184
30.9	0.053025
31	0.053025
31.1	0.0528605
31.2	0.0526961
31.3	0.0523672
31.4	0.0522027
31.5	0.0518738
31.6	0.0517093
31.7	0.0515449
31.8	0.0512159
31.9	0.0510515
32	0.050887
32.1	0.0507226
32.2	0.0505581
32.3	0.0503937
32.4	0.0502292
32.5	0.0502292
32.6	0.0497358
32.7	0.0497358
32.8	0.0495714
32.9	0.0494069
33	0.0492424
33.1	0.049078
33.2	0.0487491
33.3	0.0487491
33.4	0.0485846
33.5	0.0484201
33.6	0.0480912
33.7	0.0480912
33.8	0.0479268
33.9	0.0479268
34	0.0477623
34.1	0.0474334
34.2	0.0475978
34.3	0.0474334
34.4	0.0472689
34.5	0.04694
34.6	0.04694
34.7	0.0467756
34.8	0.0467756
34.9	0.0466111
35	0.0462822
35.1	0.0462822
35.2	0.0462822
35.3	0.0457888
35.4	0.045131
35.5	0.0457888
35.6	0.0457888
35.7	0.045131
35.8	0.0452954
35.9	0.045131
36	0.045131
36.1	0.044802
36.2	0.0446376
36.3	0.0446376
36.4	0.0444731
36.5	0.0443087
36.6	0.0441442
36.7	0.0441442
36.8	0.0439798
36.9	0.0438153
37	0.0438153
37.1	0.0436508
37.2	0.0434864
37.3	0.0431575
37.4	0.0433219
37.5	0.0433219
37.6	0.0428285
37.7	0.0428285
37.8	0.0426641
37.9	0.0426641
38	0.0424996
38.1	0.0423352
38.2	0.0421707
38.3	0.0418418
38.4	0.0420062
38.5	0.0416773
38.6	0.0420062
38.7	0.0413484
38.8	0.041184
38.9	0.041184
39	0.0410195
39.1	0.041184
39.2	0.040855
39.3	0.0406906
39.4	0.0405261
39.5	0.0405261
39.6	0.0403617
39.7	0.0401972
39.8	0.0400327
39.9	0.0400327
40	0.0398683
40.1	0.0397038
40.2	0.0392104
40.3	0.039046
40.4	0.039046
40.5	0.0388815
40.6	0.0385526
40.7	0.0387171
40.8	0.0383881
40.9	0.0382237
41	0.0380592
41.1	0.0378948
41.2	0.0378948
41.3	0.0375659
41.4	0.0377303
41.5	0.0375659
41.6	0.0374014
41.7	0.0370725
41.8	0.036908
41.9	0.0365791
42	0.036908
42.1	0.0367436
42.2	0.0364146
42.3	0.0362502
42.4	0.0362502
42.5	0.0362502
42.6	0.0359213
42.7	0.0360857
42.8	0.0357568
42.9	0.0357568
43	0.0354279
43.1	0.0354279
43.2	0.0354279
43.3	0.0352634
43.4	0.035099
43.5	0.0352634
43.6	0.0349345
43.7	0.0347701
43.8	0.0347701
43.9	0.0347701
44	0.0346056
44.1	0.0344411
44.2	0.0347701
44.3	0.0342767
44.4	0.0342767
44.5	0.0341122
44.6	0.0341122
44.7	0.0339478
44.8	0.0339478
44.9	0.0337833
45	0.0336188
45.1	0.0336188
45.2	0.0336188
45.3	0.0334544
45.4	0.0334544
45.5	0.0332899
45.6	0.0331255
45.7	0.0332899
45.8	0.0336188
45.9	0.032961
46	0.0326321
46.1	0.0327965
46.2	0.0326321
46.3	0.0324676
46.4	0.0327965
46.5	0.0326321
46.6	0.0323032
46.7	0.0324676
46.8	0.0321387
46.9	0.0323032
47	0.0321387
47.1	0.0321387
47.2	0.0321387
47.3	0.0318098
47.4	0.0318098
47.5	0.0316453
47.6	0.0318098
47.7	0.0314809
47.8	0.0316453
47.9	0.0316453
48	0.0314809
48.1	0.0313164
48.2	0.0314809
48.3	0.0313164
48.4	0.031152
48.5	0.031152
48.6	0.031152
48.7	0.030823
48.8	0.030823
48.9	0.0309875
49	0.0306586
49.1	0.0296718
49.2	0.0304941
49.3	0.0306586
49.4	0.0306586
49.5	0.0304941
49.6	0.0304941
49.7	0.0303297
49.8	0.0301652
49.9	0.0301652
50	0.0300007
50.1	0.0300007
50.2	0.0300007
50.3	0.0300007
50.4	0.0298363
50.5	0.0300007
50.6	0.0298363
50.7	0.0298363
50.8	0.0295074
50.9	0.0296718
51	0.0295074
51.1	0.0295074
51.2	0.0295074
51.3	0.0295074
51.4	0.0295074
51.5	0.0296718
51.6	0.0291784
51.7	0.0295074
51.8	0.0291784
51.9	0.0291784
52	0.029014
52.1	0.0291784
52.2	0.0291784
52.3	0.029014
52.4	0.0288495
52.5	0.029014
52.6	0.0288495
52.7	0.0286851
52.8	0.0288495
52.9	0.0285206
53	0.0285206
53.1	0.0288495
53.2	0.0285206
53.3	0.0281917
53.4	0.0281917
53.5	0.0280272
53.6	0.0281917
53.7	0.0278628
53.8	0.0276983
53.9	0.0276983
54	0.0278628
54.1	0.0275339
54.2	0.0278628
54.3	0.0275339
54.4	0.0275339
54.5	0.0275339
54.6	0.0275339
54.7	0.0272049
54.8	0.0273694
54.9	0.0272049
55	0.0270405
55.1	0.0272049
55.2	0.026876
55.3	0.0270405
55.4	0.026876
55.5	0.0267116
55.6	0.026876
55.7	0.0267116
55.8	0.0265471
55.9	0.0265471
56	0.0265471
56.1	0.0265471
56.2	0.0265471
56.3	0.0263826
56.4	0.0262182
56.5	0.0263826
56.6	0.0255604
56.7	0.0257248
56.8	0.0260537
56.9	0.0258893
57	0.0262182
57.1	0.0262182
57.2	0.0257248
57.3	0.0258893
57.4	0.0258893
57.5	0.0258893
57.6	0.0257248
