Time (s)	Measured Amplitude (V)
145.2	0.0160217
145.3	0.0161862
145.4	0.0161862
145.5	0.0161862
145.6	0.0160217
145.7	0.0163506
145.8	0.0161862
145.9	0.0161862
146	0.0161862
146.1	0.0161862
146.2	0.0160217
146.3	0.0156928
146.4	0.0163506
146.5	0.0161862
146.6	0.0160217
146.7	0.0160217
146.8	0.0160217
146.9	0.0161862
147	0.0161862
147.1	0.0161862
147.2	0.0160217
147.3	0.0161862
147.4	0.0160217
147.5	0.0161862
147.6	0.0160217
147.7	0.0163506
147.8	0.0161862
147.9	0.0160217
148	0.0161862
148.1	0.0161862
148.2	0.0161862
148.3	0.0158573
148.4	0.0158573
148.5	0.0158573
148.6	0.0158573
148.7	0.0160217
148.8	0.0160217
148.9	0.0160217
149	0.0160217
149.1	0.0158573
149.2	0.0160217
149.3	0.0160217
149.4	0.0158573
149.5	0.0161862
149.6	0.0158573
149.7	0.0155284
149.8	0.0160217
149.9	0.0158573
150	0.0158573
150.1	0.0158573
150.2	0.0158573
150.3	0.0158573
150.4	0.0156928
150.5	0.0158573
150.6	0.0160217
150.7	0.0160217
150.8	0.0158573
150.9	0.0158573
151	0.0158573
151.1	0.0155284
151.2	0.0156928
151.3	0.0158573
151.4	0.0160217
151.5	0.0156928
151.6	0.0158573
151.7	0.0158573
151.8	0.0156928
151.9	0.0158573
152	0.0156928
152.1	0.0158573
152.2	0.0153639
152.3	0.0155284
152.4	0.0158573
152.5	0.0158573
152.6	0.0155284
152.7	0.0156928
152.8	0.0158573
152.9	0.0155284
153	0.0156928
153.1	0.0156928
153.2	0.0156928
153.3	0.0158573
153.4	0.0156928
153.5	0.0156928
153.6	0.0155284
153.7	0.0155284
153.8	0.0156928
153.9	0.0155284
154	0.0155284
154.1	0.0156928
154.2	0.0153639
154.3	0.0156928
154.4	0.0156928
154.5	0.0156928
154.6	0.0155284
154.7	0.0153639
154.8	0.0156928
154.9	0.0155284
155	0.0155284
155.1	0.0156928
155.2	0.0158573
155.3	0.0156928
155.4	0.0155284
155.5	0.0155284
155.6	0.0156928
155.7	0.0155284
155.8	0.0156928
155.9	0.0155284
156	0.0163506
156.1	0.0156928
156.2	0.0153639
156.3	0.0151994
156.4	0.0153639
156.5	0.0153639
156.6	0.0156928
156.7	0.0155284
156.8	0.0155284
156.9	0.0155284
157	0.0153639
157.1	0.0153639
157.2	0.0158573
157.3	0.0156928
157.4	0.0155284
157.5	0.0153639
157.6	0.0155284
157.7	0.0155284
157.8	0.0156928
157.9	0.0155284
158	0.0156928
158.1	0.0156928
158.2	0.0155284
158.3	0.0155284
158.4	0.0153639
158.5	0.0153639
158.6	0.0156928
158.7	0.0153639
158.8	0.0156928
158.9	0.0156928
159	0.0153639
159.1	0.0155284
159.2	0.0151994
159.3	0.0155284
159.4	0.0153639
159.5	0.0148705
159.6	0.0155284
159.7	0.0156928
159.8	0.0155284
159.9	0.0153639
160	0.0153639
160.1	0.0155284
160.2	0.0156928
160.3	0.0155284
160.4	0.0155284
160.5	0.0155284
160.6	0.0153639
160.7	0.0155284
160.8	0.0155284
160.9	0.0155284
161	0.0155284
161.1	0.0155284
161.2	0.0153639
161.3	0.0151994
161.4	0.0155284
161.5	0.0151994
161.6	0.0156928
161.7	0.0153639
161.8	0.0153639
161.9	0.0155284
162	0.0153639
162.1	0.0151994
162.2	0.0153639
162.3	0.0155284
162.4	0.0153639
162.5	0.0151994
162.6	0.0151994
162.7	0.0153639
162.8	0.0155284
162.9	0.0153639
163	0.0151994
163.1	0.0158573
163.2	0.0155284
163.3	0.0153639
163.4	0.0151994
163.5	0.015035
163.6	0.0153639
163.7	0.0153639
163.8	0.0153639
163.9	0.0153639
164	0.0153639
164.1	0.015035
164.2	0.015035
164.3	0.0151994
164.4	0.0153639
164.5	0.0151994
164.6	0.0153639
164.7	0.0151994
164.8	0.0151994
164.9	0.0151994
165	0.015035
165.1	0.0151994
165.2	0.0151994
165.3	0.015035
165.4	0.015035
165.5	0.015035
165.6	0.015035
165.7	0.015035
165.8	0.0151994
165.9	0.015035
166	0.0151994
166.1	0.015035
166.2	0.015035
166.3	0.015035
166.4	0.015035
166.5	0.0151994
166.6	0.015035
166.7	0.015035
166.8	0.015035
166.9	0.0148705
167	0.0147061
167.1	0.0151994
167.2	0.0140482
167.3	0.015035
167.4	0.0151994
167.5	0.0148705
167.6	0.0148705
167.7	0.0148705
167.8	0.015035
167.9	0.0153639
168	0.015035
168.1	0.015035
168.2	0.015035
168.3	0.0148705
168.4	0.015035
168.5	0.0148705
168.6	0.0148705
168.7	0.015035
168.8	0.015035
168.9	0.0148705
169	0.0148705
169.1	0.0148705
169.2	0.015035
169.3	0.015035
169.4	0.0148705
169.5	0.0147061
169.6	0.0148705
169.7	0.015035
169.8	0.015035
169.9	0.015035
170	0.0148705
170.1	0.015035
170.2	0.015035
170.3	0.0148705
170.4	0.0148705
170.5	0.0148705
170.6	0.0148705
170.7	0.0151994
170.8	0.0147061
170.9	0.0148705
171	0.0147061
171.1	0.0148705
171.2	0.0147061
171.3	0.015035
171.4	0.015035
171.5	0.0148705
171.6	0.0147061
171.7	0.015035
171.8	0.0148705
171.9	0.015035
172	0.0147061
172.1	0.0147061
172.2	0.0148705
172.3	0.0147061
172.4	0.0148705
172.5	0.0148705
172.6	0.0148705
172.7	0.0148705
172.8	0.0147061
172.9	0.0147061
173	0.0147061
173.1	0.0147061
173.2	0.0148705
173.3	0.0148705
173.4	0.0147061
173.5	0.0148705
173.6	0.0148705
173.7	0.0148705
173.8	0.0148705
173.9	0.0148705
174	0.0138838
174.1	0.0148705
174.2	0.0148705
174.3	0.0147061
174.4	0.0147061
174.5	0.0148705
174.6	0.0147061
174.7	0.0148705
174.8	0.015035
174.9	0.0147061
175	0.0147061
175.1	0.0147061
175.2	0.0147061
175.3	0.0148705
175.4	0.0145416
175.5	0.0147061
175.6	0.015035
175.7	0.0147061
175.8	0.0147061
175.9	0.0147061
176	0.0145416
176.1	0.0145416
176.2	0.0147061
176.3	0.0147061
176.4	0.0147061
176.5	0.0145416
176.6	0.0147061
176.7	0.0155284
176.8	0.0147061
176.9	0.0143771
177	0.0143771
177.1	0.0147061
177.2	0.0145416
177.3	0.0145416
177.4	0.0145416
177.5	0.0145416
177.6	0.0145416
177.7	0.0145416
177.8	0.0147061
177.9	0.0143771
178	0.0147061
178.1	0.0145416
178.2	0.0145416
178.3	0.0145416
178.4	0.0145416
178.5	0.0145416
178.6	0.0145416
178.7	0.0145416
178.8	0.0143771
178.9	0.0147061
179	0.0145416
179.1	0.0148705
179.2	0.0147061
179.3	0.0147061
179.4	0.0145416
179.5	0.0135548
179.6	0.0145416
179.7	0.0143771
179.8	0.0143771
179.9	0.0143771
